,序号,标题,链接,导演,评分,评价人数,简介,年份,地区,类型
11,12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆 Lasse Hallström,9.4,1472572人评价,永远都不能忘记你所爱的人。,2009,美国 英国,剧情
12,13,海上钢琴师,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷 Giuseppe Tornatore,9.3,1787274人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1998,意大利,剧情 音乐
13,14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,拉库马·希拉尼 Rajkumar Hirani,9.2,1971717人评价,英俊版憨豆，高情商版谢耳朵。,2009,印度,剧情 喜剧 爱情 歌舞
14,15,放牛班的春天,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂 Christophe Barratier,9.3,1398643人评价,天籁一般的童声，是最接近上帝的存在。,2004,法国 瑞士 德国,剧情 音乐
15,16,机器人总动员,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿 Andrew Stanton,9.3,1403749人评价,小瓦力，大人生。,2008,美国,科幻 动画 冒险
16,17,疯狂动物城,https://movie.douban.com/subject/25662329/,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,9.2,2102300人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,美国,喜剧 动画 冒险
17,18,无间道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉,9.3,1471352人评价,香港电影史上永不过时的杰作。,2002,中国香港,剧情 犯罪 惊悚
18,19,控方证人,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder,9.6,642857人评价,比利·怀德满分作品。,1957,美国,剧情 犯罪 悬疑 惊悚
19,20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau,9.2,1624888人评价,一生所爱。,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
20,21,熔炉,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang,9.3,989033人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,韩国,剧情
21,22,教父,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3,1040537人评价,千万不要记恨你的对手，这样会让你失去理智。,1972,美国,剧情 犯罪
22,23,触不可及,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,9.3,1212468人评价,满满温情的高雅喜剧。,2011,法国,剧情 喜剧
23,24,寻梦环游记,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,9.1,1828728人评价,死亡不是真的逝去，遗忘才是永恒的消亡。,2017,美国,喜剧 动画 奇幻 音乐
24,25,当幸福来敲门,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino,9.2,1609953人评价,平民励志片。,2006,美国,剧情 传记 家庭
25,26,末代皇帝,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,9.3,962732人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
26,27,龙猫,https://movie.douban.com/subject/1291560/,宫崎骏 Hayao Miyazaki,9.2,1344709人评价,人人心中都有个龙猫，童年就永远不会消失。,1988,日本,动画 奇幻 冒险
27,28,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,Chris Columbus,9.2,1319677人评价,童话世界的开端。,2001,美国 英国,奇幻 冒险
28,29,怦然心动,https://movie.douban.com/subject/3319755/,罗伯·莱纳 Rob Reiner,9.1,1949436人评价,真正的幸福是来自内心深处。,2010,美国,剧情 喜剧 爱情
29,30,活着,https://movie.douban.com/subject/1292365/,张艺谋 Yimou Zhang,9.3,914253人评价,张艺谋最好的电影。,1994,中国大陆 中国香港,剧情 历史 家庭
30,31,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰 Christopher Nolan,9.2,1133828人评价,无尽的黑暗。,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
31,32,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,彼得·杰克逊 Peter Jackson,9.3,860317人评价,史诗的终章。,2003,美国 新西兰,剧情 动作 奇幻 冒险
32,33,我不是药神,https://movie.douban.com/subject/26752088/,文牧野 Muye Wen,9.0,2237821人评价,对我们国家而言，这样的电影多一部是一部。,2018,中国大陆,剧情 喜剧
33,34,乱世佳人,https://movie.douban.com/subject/1300267/,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,9.3,742182人评价,Tomorrow is another day.,1939,美国,剧情 历史 爱情 战争
34,35,飞屋环游记,https://movie.douban.com/subject/2129039/,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,9.1,1416294人评价,最后那些最无聊的事情，才是最值得怀念的。,2009,美国,剧情 喜剧 动画 冒险
35,36,素媛,https://movie.douban.com/subject/21937452/,李濬益 Jun-ik Lee,9.3,736118人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013,韩国,剧情
36,37,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,宫崎骏 Hayao Miyazaki,9.1,1192760人评价,带着心爱的人在天空飞翔。,2004,日本,爱情 动画 奇幻 冒险
37,38,让子弹飞,https://movie.douban.com/subject/3742360/,姜文 Wen Jiang,9.0,1817482人评价,你给我翻译翻译，神马叫做TMD的惊喜。,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
38,39,十二怒汉,https://movie.douban.com/subject/1293182/,Sidney Lumet,9.4,538815人评价,1957年的理想主义。,1957,美国,剧情
39,40,海蒂和爷爷,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳 Alain Gsponer,9.3,703568人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,2015,德国 瑞士,剧情 冒险 家庭
40,41,何以为家,https://movie.douban.com/subject/30170448/,娜丁·拉巴基 Nadine Labaki,9.1,1112619人评价,凝视卑弱生命，用电影改变命运。,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
41,42,猫鼠游戏,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格 Steven Spielberg,9.1,1124738人评价,骗子大师和执著警探的你追我跑故事。,2002,美国 加拿大,传记 犯罪 剧情
42,43,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里 Nitesh Tiwari,9.0,1661296人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016,印度,剧情 传记 运动 家庭
43,44,天空之城,https://movie.douban.com/subject/1291583/,宫崎骏 Hayao Miyazaki,9.2,951608人评价,对天空的追逐，永不停止。,1986,日本,动画 奇幻 冒险
44,45,鬼子来了,https://movie.douban.com/subject/1291858/,姜文 Wen Jiang,9.3,673409人评价,对敌人的仁慈，就是对自己残忍。,2000,中国大陆,剧情 喜剧
45,46,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,李安 Ang Lee,9.1,1424980人评价,瑰丽壮观、无人能及的冒险之旅。,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
46,47,钢琴家,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski,9.3,700272人评价,音乐能化解仇恨。,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐
47,48,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,彼得·杰克逊 Peter Jackson,9.2,808756人评价,承前启后的史诗篇章。,2002,美国 新西兰,剧情 动作 奇幻 冒险
48,49,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,刘镇伟 Jeffrey Lau,9.0,1294261人评价,旷古烁今。,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
49,50,死亡诗社,https://movie.douban.com/subject/1291548/,彼得·威尔 Peter Weir,9.2,808530人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989,美国,剧情
50,51,闻香识女人,https://movie.douban.com/subject/1298624/,马丁·布莱斯 Martin Brest,9.1,962432人评价,史上最美的探戈。,1992,美国,剧情
51,52,绿皮书,https://movie.douban.com/subject/27060077/,彼得·法雷里 Peter Farrelly,8.9,1778344人评价,去除成见，需要勇气。,2018,美国 中国大陆,剧情 喜剧 传记 音乐
52,53,大闹天宫,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan,9.4,476084人评价,经典之作，历久弥新。,1961(中国大陆),1964(中国大陆),1978(中国大陆)
53,54,罗马假日,https://movie.douban.com/subject/1293839/,威廉·惠勒 William Wyler,9.1,1001988人评价,爱情哪怕只有一天。,1953,美国,喜剧 剧情 爱情
54,55,黑客帝国,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,9.1,895328人评价,视觉革命。,1999,美国,动作 科幻
55,56,指环王1：护戒使者,https://movie.douban.com/subject/1291571/,彼得·杰克逊 Peter Jackson,9.1,907410人评价,传说的开始。,2001,新西兰 美国,剧情 动作 奇幻 冒险
56,57,教父2,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3,598206人评价,优雅的孤独。,1974,美国,剧情 犯罪
57,58,天堂电影院,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷 Giuseppe Tornatore,9.2,712823人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988,意大利 法国,剧情 爱情
58,59,狮子王,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff,9.1,907683人评价,动物版《哈姆雷特》。,1994,美国,动画 冒险 歌舞
59,60,辩护人,https://movie.douban.com/subject/21937445/,杨宇硕 Woo-seok Yang,9.2,629446人评价,电影的现实意义大过电影本身。,2013,韩国,剧情
60,61,饮食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee,9.2,672815人评价,人生不能像做菜，把所有的料都准备好了才下锅。,1994,中国台湾 美国,剧情 家庭
61,62,搏击俱乐部,https://movie.douban.com/subject/1292000/,大卫·芬奇 David Fincher,9.0,911741人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999,美国,剧情 动作 悬疑 惊悚
62,63,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher,9.0,1050535人评价,在时间之河里感受溺水之苦。,2008,美国,剧情 爱情 奇幻
63,64,美丽心灵,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard,9.1,817920人评价,爱是一切逻辑和原由。,2001,美国,传记 剧情
64,65,穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,马克·赫尔曼 Mark Herman,9.2,609394人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008,英国 美国,剧情 战争
65,66,窃听风暴,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.2,603877人评价,别样人生。,2006,德国,剧情 悬疑
66,67,情书,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai,8.9,1215801人评价,暗恋的极致。,1995,日本,剧情 爱情
67,68,两杆大烟枪,https://movie.douban.com/subject/1293350/,盖·里奇 Guy Ritchie,9.1,639556人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998,英国,剧情 喜剧 犯罪
68,69,哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates,9.0,908643人评价,10年的完美句点。,2011,美国 英国,奇幻 冒险
69,70,音乐之声,https://movie.douban.com/subject/1294408/,罗伯特·怀斯 Robert Wise,9.1,646570人评价,用音乐化解仇恨，让歌声串起美好。,1965,美国,剧情 传记 爱情 歌舞
70,71,看不见的客人,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo,8.8,1366709人评价,你以为你以为的就是你以为的。,2016,西班牙,剧情 犯罪 悬疑 惊悚
71,72,西西里的美丽传说,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore,8.9,1042621人评价,美丽无罪。,2000,意大利 美国,剧情 战争 情色
72,73,阿凡达,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron,8.8,1502021人评价,绝对意义上的美轮美奂。,2009,美国,动作 科幻 冒险
73,74,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg,9.1,689379人评价,美利坚精神输出大片No1.,1998,美国,剧情 战争
74,75,功夫,https://movie.douban.com/subject/1291543/,周星驰 Stephen Chow,8.9,1242039人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
75,76,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,Alfonso Cuarón,9.0,825061人评价,不一样的导演，不一样的哈利·波特。,2004,英国 美国,奇幻 冒险
76,77,小鞋子,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi,9.2,439850人评价,奔跑的孩子是天使。,1997,伊朗,剧情 儿童 家庭
77,78,飞越疯人院,https://movie.douban.com/subject/1292224/,米洛斯·福尔曼 Miloš Forman,9.1,578840人评价,自由万岁。,1975,美国,剧情
78,79,沉默的羔羊,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme,8.9,960555人评价,安东尼·霍普金斯的顶级表演。,1991,美国,剧情 犯罪 惊悚
79,80,布达佩斯大饭店,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson,8.9,1020329人评价,小清新的故事里注入了大历史的情怀。,2014,美国 德国 英国,剧情 喜剧 冒险
80,81,蝴蝶效应,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,8.9,1007928人评价,人的命运被自己瞬间的抉择改变。,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
81,82,禁闭岛,https://movie.douban.com/subject/2334904/,Martin Scorsese,8.9,1052419人评价,昔日翩翩少年，今日大腹便便。,2010,美国,剧情 悬疑 惊悚
82,83,致命魔术,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan,8.9,918718人评价,孪生蝙蝠侠大战克隆金刚狼。,2006,英国 美国,剧情 悬疑 惊悚
83,84,心灵捕手,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant,9.0,774541人评价,人生中应该拥有这样的一段豁然开朗。,1997,美国,剧情
84,85,超脱,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye,9.0,671711人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,2011,美国,剧情
85,86,低俗小说,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino,8.9,903173人评价,故事的高级讲法。,1994,美国,剧情 喜剧 犯罪
86,87,摩登时代,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin,9.3,326135人评价,大时代中的人生，小人物的悲喜。,1936,美国,剧情 喜剧 爱情
87,88,喜剧之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,8.8,1034415人评价,我是一个演员。,1999,中国香港,喜剧 剧情 爱情
88,89,春光乍泄,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong,9.0,675345人评价,爱情纠缠，男女一致。,1997,中国香港 日本 韩国,剧情 爱情 同性
89,90,哈利·波特与密室,https://movie.douban.com/subject/1296996/,Chris Columbus,8.9,850663人评价,魔法的密室之门已打开...,2002,英国 美国,奇幻 冒险
90,91,致命ID,https://movie.douban.com/subject/1297192/,詹姆斯·曼高德 James Mangold,8.9,892833人评价,最不可能的那个人永远是最可能的。,2003,美国,剧情 悬疑 惊悚
91,92,海豚湾,https://movie.douban.com/subject/3442220/,路易·西霍尤斯 Louie Psihoyos,9.3,371716人评价,海豚的微笑，是世界上最高明的伪装。,2009,美国,纪录片
92,93,杀人回忆,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong,8.9,782629人评价,关于连环杀人悬案的集体回忆。,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
93,94,美国往事,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone,9.1,445755人评价,往事如烟，无处祭奠。,1984,美国 意大利,犯罪 剧情
94,95,一一,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang,9.1,448914人评价,我们都曾经是一一。,2000,中国台湾 日本,剧情 爱情 家庭
95,96,红辣椒,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon,9.0,523733人评价,梦的勾结。,2006,日本,动画 悬疑 科幻 惊悚
96,97,加勒比海盗,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski,8.8,918477人评价,约翰尼·德普的独角戏。,2003,美国,动作 冒险 奇幻
97,98,七宗罪,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher,8.8,1002749人评价,警察抓小偷，老鼠玩死猫。,1995,美国,剧情 犯罪 悬疑 惊悚
98,99,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee,8.7,1158501人评价,华太师是黄霑，吴镇宇四大才子之一。,1993,中国香港,喜剧 爱情 古装
99,100,狩猎,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg,9.1,432624人评价,人言可畏。,2012,丹麦 瑞典,剧情
100,101,7号房的礼物,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee,8.9,593448人评价,《我是山姆》的《美丽人生》。,2013,韩国,剧情 喜剧 家庭
101,102,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan,8.9,772945人评价,诺兰就是保证。,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
102,103,甜蜜蜜,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan,8.9,622056人评价,相逢只要一瞬间，等待却像是一辈子。,1996,中国香港,剧情 爱情
103,104,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima,8.8,743211人评价,以戏谑来戏谑戏谑。,2006,日本,剧情 歌舞
104,105,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater,8.8,746221人评价,缘分是个连绵词，最美不过一瞬。,1995,美国 奥地利 瑞士,剧情 爱情
105,106,超能陆战队,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,8.8,1086787人评价,Balalala~~~,2014,美国,喜剧 动作 科幻 动画 冒险
106,107,第六感,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan,8.9,600629人评价,深入内心的恐怖，出人意料的结局。,1999,美国,剧情 悬疑 惊悚
107,108,寄生虫,https://movie.douban.com/subject/27010768/,奉俊昊 Joon-ho Bong,8.8,1467537人评价,,2019,韩国,剧情
108,109,重庆森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong,8.8,872986人评价,寂寞没有期限。,1994,中国香港,剧情 爱情
109,110,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater,8.9,612031人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004,美国 法国,剧情 爱情
110,111,入殓师,https://movie.douban.com/subject/2149806/,泷田洋二郎 Yôjirô Takita,8.9,713299人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008,日本,剧情
111,112,幽灵公主,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki,8.9,562904人评价,人与自然的战争史诗。,1997,日本,动画 奇幻 冒险
112,113,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,卢卡·瓜达尼诺 Luca Guadagnino,8.8,780138人评价,沉醉在电影的情感和视听氛围中无法自拔。,2017,意大利 法国 巴西 美国,剧情 爱情 同性
113,114,剪刀手爱德华,https://movie.douban.com/subject/1292370/,蒂姆·波顿 Tim Burton,8.7,1084488人评价,浪漫忧郁的成人童话。,1990,美国,剧情 爱情 奇幻
114,115,断背山,https://movie.douban.com/subject/1418834/,李安 Ang Lee,8.8,747264人评价,每个人心中都有一座断背山。,2005,美国 加拿大,剧情 爱情 同性 家庭
115,116,勇敢的心,https://movie.douban.com/subject/1294639/,梅尔·吉布森 Mel Gibson,8.9,584423人评价,史诗大片的典范。,1995,美国,动作 传记 剧情 历史 战争
116,117,菊次郎的夏天,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano,8.9,641327人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999,日本,剧情 喜剧
117,118,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi,8.9,595236人评价,曾经的那段美好会沉淀为一辈子的记忆。,2010,日本,动画 奇幻 冒险
118,119,未麻的部屋,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon,9.1,388927人评价,好的剧本是，就算你猜到了结局也猜不到全部。,1997,日本,剧情 犯罪 动画 悬疑 惊悚
119,120,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,迈克·内威尔 Mike Newell,8.8,742987人评价,,2005,英国 美国,悬疑 奇幻 冒险
120,121,消失的爱人,https://movie.douban.com/subject/21318488/,大卫·芬奇 David Fincher,8.7,1023725人评价,年度最佳date movie。,2014,美国,剧情 犯罪 悬疑 惊悚
121,122,无人知晓,https://movie.douban.com/subject/1292337/,是枝裕和 Hirokazu Koreeda,9.1,351811人评价,我的平常生活就是他人的幸福。,2004,日本,剧情
122,123,时空恋旅人,https://movie.douban.com/subject/10577869/,理查德·柯蒂斯 Richard Curtis,8.8,737739人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013,英国 美国,喜剧 爱情 奇幻
