,序号,标题,链接,导演,评分,评价人数,简介,年份,地区,类型
238,239,步履不停,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda,8.8,304050人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008,日本,剧情 家庭
239,240,千年女优,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon,8.8,297472人评价,爱情是一场没有尽头的虚幻追逐。,2001,日本,动画 剧情 爱情
240,241,血钻,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick,8.7,404309人评价,每个美丽事物背后都是滴血的现实。,2006,美国 德国 英国,剧情 惊悚 冒险
241,242,谍影重重2,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass,8.7,377587人评价,谁说王家卫镜头很晃？,2004,美国 德国,动作 悬疑 惊悚
242,243,房间,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson,8.8,387024人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
243,244,魂断蓝桥,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy,8.8,296770人评价,中国式内在的美国电影。,1940,美国,剧情 爱情 战争
244,245,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,8.6,718164人评价,,2018,美国,动作 科幻 动画 冒险
245,246,弱点,https://movie.douban.com/subject/3552028/,约翰·李·汉考克 John Lee Hancock,8.7,337466人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,2009,美国,剧情 家庭 传记 运动
246,247,谍影重重,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman,8.6,459606人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002,美国 德国 捷克,动作 悬疑 惊悚
247,248,隐藏人物,https://movie.douban.com/subject/26615208/,特奥多尔·梅尔菲 Theodore Melfi,8.9,245564人评价,,2016,美国,剧情 传记 历史
248,249,朗读者,https://movie.douban.com/subject/2213597/,史蒂芬·戴德利 Stephen Daldry,8.6,473815人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,2008,美国 德国,剧情 爱情
249,250,阿飞正传,https://movie.douban.com/subject/1305690/,王家卫 Kar Wai Wong,8.5,544766人评价,王家卫是一种风格，张国荣是一个代表。,1990,中国香港,犯罪 剧情 爱情
